epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.0977,0.81311,2.2302,0.97165,0.93211,0.12791,0.60122,0.46454,0.61418,2.52766,0.85136,0.00036,0.00036,0.00036
2,4.12687,0.59135,1.04644,0.88878,0.67241,0.06977,0.15205,0.11543,0.65465,2.82244,0.87449,0.000725348,0.000725348,0.000725348
3,5.16927,0.60715,0.87071,0.89319,0.4853,0.21931,0.40403,0.31924,0.60635,2.33401,0.87483,0.00107565,0.00107565,0.00107565
4,6.18664,0.56039,0.82871,0.87972,0.13391,0.33721,0.15659,0.10703,0.72536,2.58365,0.93667,0.0014109,0.0014109,0.0014109
5,7.19635,0.55554,0.7729,0.87996,0.62723,0.70439,0.64446,0.50857,0.63943,1.42984,0.92974,0.0017311,0.0017311,0.0017311
6,8.23689,0.54161,0.70486,0.88206,0.78958,0.80233,0.81997,0.68105,0.57524,1.09228,0.91105,0.001802,0.001802,0.001802
7,9.25599,0.52743,0.68315,0.88129,0.90042,0.54651,0.70425,0.58301,0.66728,1.25698,0.92023,0.0017624,0.0017624,0.0017624
8,10.2689,0.54119,0.68406,0.88887,0.97585,0.93982,0.98197,0.83267,0.56634,0.65686,0.87613,0.0017228,0.0017228,0.0017228
9,11.2734,0.51156,0.62103,0.86951,0.85652,0.833,0.9203,0.77035,0.57869,0.74569,0.86275,0.0016832,0.0016832,0.0016832
10,12.2692,0.50051,0.57073,0.86903,0.97641,0.96252,0.98878,0.84769,0.52527,0.52147,0.85761,0.0016436,0.0016436,0.0016436
11,13.303,0.49276,0.57839,0.8779,0.943,0.96186,0.98937,0.85091,0.52044,0.55726,0.85892,0.001604,0.001604,0.001604
12,14.3175,0.47764,0.54606,0.86525,0.99672,0.97674,0.98957,0.86134,0.5367,0.45954,0.86673,0.0015644,0.0015644,0.0015644
13,15.3381,0.45909,0.51485,0.86083,0.99718,0.97674,0.9932,0.87504,0.50909,0.43134,0.85372,0.0015248,0.0015248,0.0015248
14,16.3686,0.46285,0.49979,0.85445,0.96321,0.97674,0.988,0.87526,0.5144,0.46781,0.85564,0.0014852,0.0014852,0.0014852
15,17.3872,0.47326,0.51611,0.86682,0.97051,0.96512,0.98171,0.86794,0.51294,0.42546,0.84045,0.0014456,0.0014456,0.0014456
16,18.399,0.45851,0.49,0.85736,1,0.96353,0.99102,0.88695,0.48509,0.38125,0.84849,0.001406,0.001406,0.001406
17,19.4051,0.42962,0.45362,0.85821,0.99841,1,0.995,0.89743,0.45844,0.36503,0.83585,0.0013664,0.0013664,0.0013664
18,20.4302,0.42369,0.44317,0.84993,0.99556,0.95349,0.98884,0.88231,0.46211,0.42184,0.84782,0.0013268,0.0013268,0.0013268
19,21.43,0.39334,0.41526,0.84316,0.96434,0.94347,0.98718,0.89769,0.45662,0.43499,0.84307,0.0012872,0.0012872,0.0012872
20,22.4389,0.4085,0.42313,0.85148,0.95505,1,0.99257,0.88845,0.46527,0.38239,0.85027,0.0012476,0.0012476,0.0012476
21,23.444,0.41004,0.41431,0.84909,0.96996,1,0.9892,0.87673,0.45922,0.33961,0.85385,0.001208,0.001208,0.001208
22,24.4403,0.39812,0.39833,0.83489,0.97643,0.9633,0.98772,0.87526,0.4688,0.35676,0.87888,0.0011684,0.0011684,0.0011684
23,25.4456,0.42431,0.41949,0.85962,0.98823,0.97616,0.99421,0.88077,0.45229,0.3368,0.84485,0.0011288,0.0011288,0.0011288
24,26.46,0.39116,0.38938,0.8392,0.97617,0.95266,0.98939,0.87366,0.46281,0.33741,0.84927,0.0010892,0.0010892,0.0010892
25,27.4519,0.38786,0.38167,0.83411,0.98807,0.96324,0.99315,0.88679,0.49005,0.332,0.86476,0.0010496,0.0010496,0.0010496
26,28.4642,0.38833,0.37905,0.8302,1,0.98697,0.99477,0.90317,0.44529,0.32693,0.84409,0.00101,0.00101,0.00101
27,29.4894,0.37914,0.3801,0.83379,0.97456,0.94186,0.98339,0.8668,0.45647,0.39636,0.84996,0.0009704,0.0009704,0.0009704
